Company,Ticker,Sep-19,Jun-19,Mar-19,Dec-18,Sep-18,Jun-18,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,Dec-16,Sep-16,Jun-16,Mar-16,Dec-15,Sep-15,Jun-15,Mar-15,Dec-14,Sep-14,Jun-14,Mar-14,Dec-13,Sep-13,Jun-13,Mar-13,Dec-12,Sep-12,Jun-12,Mar-12,Dec-11,Sep-11,Jun-11,Mar-11,Dec-10,Sep-10,Jun-10,Mar-10,Dec-09,Sep-09,Jun-09,Mar-09,Dec-08,Sep-08,Jun-08
Adani Ports & Special Economic Zone Ltd.,ADSEZ IS Equity,2.35,2.36,3.26,4.42,3.32,1.74,3.38,2.54,3.29,2.41,4.04,3.59,4.43,2.91,3.15,3.07,5.12,2.97,2.68,2.87,2.56,2.44,2.55,2.30,1.68,3.28,2.45,2.07,2.14,2.09,1.69,1.55,1.36,1.27,1.67,1.14,1.06,5.27,2.40,0.81,0.87,4.26,3.77,2.52,2.80,2.42
Asian Paints Ltd.,APNT IS Equity,8.24,6.80,4.98,6.58,5.01,5.65,5.12,5.51,4.94,4.18,4.60,4.44,4.54,5.23,4.18,4.42,3.87,4.46,3.54,3.68,3.39,3.22,2.78,3.21,3.24,2.96,2.50,3.25,23.33,28.63,25.50,26.11,22.20,26.11,17.87,21.54,20.45,20.95,16.40,18.63,25.91,17.14,10.26,5.22,12.69,10.22
Axis Bank Ltd.,AXSB IS Equity,-0.43,5.29,5.85,6.54,3.07,2.73,-8.53,3.00,1.80,5.45,5.12,2.42,1.34,6.52,9.05,9.15,8.06,8.34,9.22,8.05,6.83,7.08,7.85,6.84,5.81,30.07,34.39,31.56,27.11,27.88,30.94,26.73,22.33,22.92,24.87,21.77,18.01,18.26,18.92,16.29,14.64,15.64,16.20,13.95,11.23,9.22
Bajaj Auto Ltd.,BJAUT IS Equity,48.50,38.90,45.10,38.10,39.80,38.50,37.30,32.90,38.40,31.90,27.70,32.00,38.80,33.80,32.80,33.50,36.40,33.10,21.50,29.80,20.40,25.60,26.40,31.30,28.90,25.50,26.50,28.30,25.60,24.80,26.70,27.50,25.10,24.60,48.40,23.10,23.60,20.40,18.30,16.40,13.90,20.30,9.00,11.40,12.80,12.10
Bajaj Finance Ltd.,BAF IS Equity,23.83,19.49,19.31,17.74,15.97,14.49,12.92,12.03,10.73,8.34,8.22,10.27,7.60,7.91,5.89,7.64,5.24,54.34,46.28,51.73,39.52,42.46,36.61,39.07,33.56,35.45,35.42,37.30,30.24,32.62,28.60,32.76,23.85,24.79,19.40,20.87,14.42,12.78,5.88,7.46,5.93,4.16,4.12,3.08,1.25,0.82
Bajaj Finserv Ltd.,BJFIN IS Equity,21.70,0.63,0.10,0.50,18.30,0.40,0.70,0.70,7.30,0.20,0.40,0.40,2.60,1.00,4.20,0.60,4.50,0.90,2.80,0.90,3.80,0.50,0.70,0.30,3.50,0.70,-1.10,0.70,3.20,0.70,0.50,1.00,2.90,0.80,9.70,0.80,1.60,0.90,0.40,0.30,0.90,0.60,0.40,0.80,1.00,0.07
Bharat Petroleum Corpn. Ltd.,BPCL IS Equity,8.69,5.47,15.89,2.52,6.20,11.66,13.67,10.90,11.99,3.79,9.36,11.55,6.64,13.32,16.14,10.68,7.15,16.32,39.45,7.62,6.42,16.82,56.26,-15.06,12.88,2.08,66.35,22.79,69.63,-122.21,54.80,43.42,-44.66,-35.43,25.87,5.18,59.25,-47.52,19.45,10.49,-4.39,16.99,100.35,22.12,-72.61,-29.50
Bharti Airtel Ltd.,BHARTI IS Equity,-47.77,-2.81,-0.15,0.57,-1.33,-3.41,-1.90,0.16,1.24,0.70,-35.47,1.06,6.01,3.57,4.24,4.46,5.64,6.12,9.57,5.70,12.35,5.41,5.15,4.50,4.46,2.51,2.86,1.98,4.72,3.87,4.15,3.73,3.44,3.77,4.84,4.87,5.53,5.09,5.61,6.09,6.05,14.16,5.47,5.31,4.23,10.78
Britannia Industries Ltd.,BRIT IS Equity,20.50,10.41,12.05,12.60,11.80,10.25,10.19,10.38,20.43,17.39,16.39,17.62,18.97,17.54,15.99,16.40,17.13,14.23,11.76,10.05,21.10,8.99,7.63,8.04,7.99,7.21,7.35,4.77,3.82,3.64,4.44,4.53,3.17,3.50,3.62,3.13,2.67,2.75,5.14,2.44,4.94,19.83,5.64,19.32,22.30,16.89
Cipla Ltd.,CIPLA IS Equity,9.15,8.61,7.87,3.67,7.06,4.85,2.79,5.20,7.03,3.22,0.32,4.25,4.10,3.47,0.11,2.82,6.63,8.65,2.66,3.72,4.18,4.14,3.44,3.25,4.68,5.91,3.33,4.22,6.23,4.99,3.63,3.37,3.85,3.16,2.67,2.90,3.27,3.21,3.43,3.60,3.55,3.11,3.25,2.87,1.95,1.80
