,Sep-19,Jun-19,Mar-19,Dec-18,Sep-18,Jun-18,Mar-18,Dec-17,Sep-17,Jun-17,Mar-17,Dec-16,Sep-16,Jun-16,Mar-16,Dec-15,Sep-15,Jun-15,Mar-15,Dec-14,Sep-14,Jun-14,Mar-14,Dec-13,Sep-13,Jun-13,Mar-13,Dec-12,Sep-12,Jun-12
ADSEZ IS Equity,3.8740000000000006,3.64475,3.46275,3.51675,3.367,2.96925,2.8275000000000006,2.518,2.1719999999999997,2.1342499999999998,2.11175,1.9665000000000004,2.00275,1.8557499999999998,1.6652499999999997,1.4642499999999998,1.5612500000000005,1.4072500000000003,1.35225,1.2185,1.0614999999999999,1.9765000000000001,2.11975,1.83175,1.5029999999999997,2.282,2.7895000000000003,2.8945,3.06875,3.1239999999999997
APNT IS Equity,3.8742500000000004,4.008,3.697250000000001,3.6975,3.46225,3.3210000000000006,3.0510000000000006,3.0055000000000005,2.9395,2.732,2.5029999999999997,2.49,7.541749999999999,13.552249999999999,18.03775,22.17875,24.717499999999998,27.863999999999997,28.271250000000002,29.25875,29.48375,29.381750000000004,27.633,26.165749999999996,26.137500000000003,23.308,18.334999999999997,12.0205,10.536250000000003,9.4955
AXSB IS Equity,6.6555,7.862500000000001,9.29725,10.45875,10.757000000000001,10.972750000000001,9.58325,9.26125,8.40575,14.0625,20.134249999999994,24.36175,26.58625,29.136000000000003,32.29625,33.87175,33.74425,33.4495,33.40975,32.02825,29.180749999999996,26.153750000000006,23.12775,19.016000000000002,14.100999999999996,12.85425,12.756249999999998,12.126000000000001,10.5885,9.060999999999996
BJAUT IS Equity,31.654999999999987,31.367499999999993,29.255000000000003,28.757500000000004,26.372500000000002,25.5775,25.125,25.509999999999998,26.159999999999997,25.222500000000004,24.064999999999998,24.0325,24.4375,24.2225,24.557499999999997,25.35,26.1275,26.567500000000003,31.43,30.540000000000003,28.532500000000002,26.425000000000004,24.0425,22.122500000000002,19.590000000000003,18.5225,14.909999999999997,12.605,10.667500000000004,8.755000000000003
BAF IS Equity,3.44125,15.355000000000002,24.3555,33.80875,39.09425,44.304,47.1165,49.81825,50.2715,50.268,49.56125,48.95200000000001,45.50149999999999,42.12650000000001,36.82575,32.25975,24.478250000000003,23.83150000000001,21.367000000000004,20.759499999999996,17.479499999999998,14.857999999999997,10.375999999999994,7.426249999999996,4.057749999999999,1.2210000000000036,-0.8480000000000061,-2.1125000000000043,-4.037999999999997,-4.989249999999998
BJFIN IS Equity,2.1012500000000003,1.3575,1.0025000000000004,0.16499999999999915,2.7125000000000004,2.1125,1.6050000000000004,0.9975,2.19,1.7124999999999997,0.8025,0.3799999999999999,0.905,0.5499999999999998,0.6325000000000001,0.3924999999999996,1.2025000000000001,0.9874999999999998,3.285,2.8999999999999995,3.1525,2.79,2.3225000000000002,1.7775,1.8625,1.5174999999999998,0.8550000000000002,0.5249999999999999,0.6175000000000002,0.1575000000000002
BPCL IS Equity,11.218250000000001,12.195500000000001,20.247,17.7465,15.370500000000003,16.408,27.478000000000005,19.23775,18.795,14.4,26.95075,27.515249999999998,38.77225,1.4964999999999975,12.284500000000001,18.442,1.231499999999997,-11.000750000000007,-3.144749999999995,-4.896249999999998,6.750750000000007,-8.055500000000002,1.405250000000004,-1.1517500000000034,-3.8764999999999965,-2.4445000000000014,29.09525,33.693499999999986,21.652,-4.832000000000001
BHARTI IS Equity,1.9670000000000005,3.511,6.09325,7.573,10.302000000000001,10.642,10.922999999999998,11.17425,11.469,11.11475,5.37725,3.9410000000000003,3.9092500000000006,3.3312499999999994,2.9162500000000007,2.4314999999999998,2.0695000000000006,1.9169999999999998,2.60825,2.8447500000000003,4.2645,4.703749999999999,5.242000000000001,5.791250000000001,6.284750000000001,8.4735,8.251000000000001,7.791250000000001,7.3892500000000005,8.5095
BRIT IS Equity,19.21475,18.44525,17.20875,15.6345,16.7665,14.406000000000002,11.727999999999998,9.245,8.315500000000002,7.045999999999999,5.916,4.551500000000001,3.4732499999999984,2.5142500000000023,1.870249999999995,1.599000000000002,1.3940000000000001,1.1854999999999993,0.9047499999999999,0.448500000000001,1.7077499999999999,1.6312499999999996,2.1042499999999995,2.026,2.70525,7.066249999999999,7.585249999999999,11.18,15.0135,17.005499999999998
CIPLA IS Equity,2.2097500000000005,3.8637500000000005,3.9082500000000002,3.7179999999999995,4.15,4.3125,4.00875,4.00275,4.6775,5.147,4.46925,4.52825,5.068,5.15,4.35,3.8034999999999997,3.93475,4.266000000000001,3.7135,3.3772500000000005,3.223,3.0705,2.8912499999999994,2.7262500000000003,2.7545,2.8855,2.7344999999999997,2.6239999999999997,2.6187499999999995,2.4970000000000003
DRRD IS Equity,16.41375,21.61375,24.965500000000002,22.228250000000003,24.817499999999995,29.6285,30.746500000000005,34.7555,38.73175,30.334,28.527250000000002,27.98975,26.709750000000007,23.423499999999997,17.02525,11.150749999999999,9.833750000000002,12.299999999999997,11.2655,7.856000000000002,6.72325,7.761749999999999,8.29475,9.23125,12.585,10.990999999999998,10.865000000000002,10.0075,9.46175,9.4515
EIM IS Equity,106.21100000000001,90.51299999999999,77.94624999999999,60.73224999999999,47.43224999999998,42.590750000000014,26.277000000000015,13.895749999999992,5.55325000000002,0.6955000000000098,-0.5327500000000214,-4.511499999999984,-6.138750000000016,-7.7324999999999875,-2.8912499999999994,-0.4242500000000007,-1.673000000000016,-1.6314999999999955,-0.5444999999999993,-0.5810000000000031,-1.4099999999999966,-0.16900000000000404,2.4282499999999985,2.0337500000000013,0.8460000000000001,-0.49274999999999736,1.0622500000000006,0.45000000000000107,0.7617499999999993,1.4197500000000005
GAIL IS Equity,5.10675,4.298499999999999,4.047,4.37375,5.678999999999999,5.67825,6.227,8.253,8.6145,8.53925,7.5335,8.44875,8.614999999999998,9.379249999999999,8.56175,8.88725,8.729,8.2715,7.4445,7.038500000000001,7.2997499999999995,6.75775,6.625,7.24125,6.826,6.21075,5.3505,4.53425,5.08475,5.55325
